dns_time_ms,tcp_connect_ms,tls_time_ms,rtt_ms,http_status,response_size,time_of_day,domain_category,response_time_ms
57.104,213.447,53.666,25.04,403,17,40907,net,402.211
4.315,27.423,31.319,26.96,403,17,40907,net,94.204
13.283,59.009,46.579,26.5,403,17,40908,net,142.229
7.805,36.836,52.124,23.75,403,17,40908,net,122.329
3.23,49.449,37.376,24.52,403,17,40908,net,118.325
5.775,40.329,44.89,25.31,403,17,40908,net,121.253
9.866,34.734,41.594,24.51,403,17,40909,net,107.238
16.549,43.879,36.961,26.52,403,17,40909,net,116.355
7.117,29.306,43.038,24.88,403,17,40909,net,98.374
5.073,51.38,51.581,24.07,403,17,40909,net,133.503
35.339,69.265,49.899,30.57,403,17,40910,com,158.147
15.248,46.648,36.875,26.53,403,17,40910,com,125.516
14.093,41.456,34.227,25.05,403,17,40910,com,103.48
9.474,51.109,38.33,25.14,403,17,40910,com,127.793
13.051,47.541,37.572,26.42,403,17,40910,com,145.256
4.587,31.694,71.256,28.36,403,17,40911,com,132.375
4.426,33.645,54.059,28.43,403,17,40911,com,138.434
14.695,46.268,49.914,24.21,403,17,40911,com,137.146
10.363,47.267,45.511,29.54,403,17,40911,com,134.602
2.637,33.001,50.227,29.95,403,17,40912,com,120.243
34.862,73.198,41.656,31.56,403,186870,40913,com,961.731
15.769,47.663,35.35,32.03,403,189031,40914,com,956.808
6.816,37.93,52.258,28.2,403,185286,40915,com,877.191
10.45,46.343,45.189,28.09,403,186473,40916,com,1003.352
5.774,38.017,50.459,36.2,403,185572,40917,com,963.77
12.706,36.115,57.915,31.88,403,184582,40918,com,1004.367
11.252,119.64,114.388,65.27,403,186070,40921,com,1149.17
13.05,139.855,141.93,61.86,403,184836,40923,com,1376.689
8.108,150.732,92.75,76.83,403,185373,40924,com,1229.329
31.855,128.356,112.215,26.49,403,84962,40925,com,355.956
15.468,62.121,51.429,28.8,403,85024,40925,com,231.606
4.053,44.271,57.475,29.55,403,85044,40928,com,256.798
14.091,45.066,50.547,26.67,403,84960,40928,com,260.832
15.482,41.745,57.728,32.83,403,84926,40928,com,242.37
11.282,39.746,52.887,26.9,403,85034,40929,com,222.266
2.886,48.553,51.096,29.58,403,85047,40929,com,232.368
6.501,38.482,65.38,25.71,403,85049,40929,com,233.379
8.06,40.402,50.922,27.18,403,84945,40930,com,219.248
34.957,63.268,36.082,26.55,403,68853,40930,com,322.023
7.158,35.334,53.671,25.56,403,68795,40931,com,337.858
2.455,29.176,41.657,25.2,403,68566,40931,com,275.255
10.222,34.978,43.308,25.73,403,68823,40931,com,272.197
4.618,30.999,40.48,27.38,403,68517,40932,com,299.498
14.215,51.896,35.283,35.91,403,68851,40932,com,283.411
12.476,59.222,53.221,28.43,403,68752,40933,com,336.042
13.733,83.67,58.532,25.51,403,68708,40933,com,339.927
3.849,28.796,33.097,26.12,403,68547,40934,com,273.249
9.513,35.567,57.154,26.33,403,68900,40934,com,307.694
12.004,58.487,46.084,28.93,403,876402,40935,com,417.07
15.014,61.099,50.125,26.36,403,875441,40936,com,518.319
8.813,38.472,51.635,30.85,302,875965,40936,com,411.639
11.501,57.504,51.133,29.13,302,882408,40937,com,488.384
10.42,52.722,49.289,30.34,302,877298,40937,com,466.724
10.337,55.909,50.302,27.73,302,877211,40939,com,457.563
13.844,60.193,56.718,29.64,302,877743,40939,com,508.156
2.623,42.629,57.358,28.08,302,877100,40940,com,512.917
41.397,67.289,37.78,23.2,302,0,40940,com,263.265
8.731,33.294,33.55,22.97,302,0,40941,com,234.561
7.167,55.062,34.068,24.07,302,0,40941,com,246.284
4.315,27.564,33.973,27.13,302,0,40941,com,219.344
36.114,83.776,34.01,28.58,302,0,40944,com,275.269
4.877,47.321,33.534,27.08,302,0,40945,com,240
12.996,40.596,47.853,26.56,302,0,40945,com,250.885
9.169,51.005,43.185,26.65,302,0,40945,com,252.005
35.381,65.415,43.779,26.21,302,143,40946,com,137.547
8.351,54.397,35.646,34.81,302,143,40946,com,116.523
11.212,38.061,51.53,25.9,302,143,40946,com,121.825
11.64,36.21,57.864,24.44,302,143,40946,com,128.004
13.967,57.586,39.084,23.7,302,143,40947,com,131.735
1.841,29.149,37.089,24.02,302,143,40947,com,108.443
12.298,39.866,33.173,26.73,302,143,40947,com,99.024
4.497,33.26,41.838,27.1,302,143,40947,com,108.163
11.251,37.555,52.818,29.57,302,143,40947,com,116.439
6.997,39.77,44.826,23.58,302,143,40948,com,118.511
36.575,93.148,64.035,54.97,302,120361,40948,org,395.514
4.842,62.735,74.693,56.08,302,120361,40949,org,394.481
5.201,78.202,67.322,64.31,302,120361,40949,org,387.748
12.258,64.805,62.557,59.28,302,120361,40950,org,381.271
11.041,77.327,69.466,60.99,302,120361,40951,org,374.635
8.184,70.004,68.211,56.16,302,120361,40951,org,384.71
2.202,56.641,84.13,56.61,302,120361,40952,org,390.962
15.328,71.538,62.201,58.17,302,120361,40953,org,355.824
12.622,68.814,63.224,67.94,302,120361,40953,org,383.553
6.699,63.649,75.195,63.38,302,120361,40954,org,385.759
81.186,120.262,99.626,26.78,302,201253,40954,com,425.071
